S. No.,Year,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
126,2002,Dhule Region,Dhule,5538,33,1402,378,143,0,189,0,136,0,1,1,0,1,0,310,7,99,188,179,148,6
127,2002,Dhule Region,Jalgaon,16073,113,2612,994,235,0,206,0,1276,0,5,2,1,17,0,338,12,232,390,544,501,4
128,2002,Dhule Region,Nandurbar,2776,25,254,149,87,0,86,0,67,0,0,0,0,0,0,35,0,35,32,111,149,0
129,2002,Aurangabad Region,Aurangabad,17332,1864,104,1903,541,0,0,0,2541,535,0,11,3,7,0,336,27,395,541,352,21,0
130,2002,Aurangabad Region,Jalna,6261,123,331,264,251,0,0,0,136,0,0,0,2,1,0,67,0,111,155,292,162,0
131,2002,Aurangabad Region,Beed,5461,26,606,262,357,0,0,0,328,0,0,0,5,0,0,98,0,158,185,262,194,0
132,2002,Latur Region,Latur,4833,38,907,412,171,0,116,0,621,0,2,4,0,2,0,47,0,105,422,201,144,0
133,2002,Latur Region,Osmanabad,2777,8,178,108,63,0,25,0,414,0,0,0,0,0,0,25,0,45,98,179,135,0
134,2002,Latur Region,Ambejogai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2002,Nanded Region,Nanded,6382,258,455,447,381,0,0,0,1735,0,0,0,1,0,0,206,0,55,6,77,83,0
136,2002,Nanded Region,Parbhani,3391,14,474,200,139,0,0,0,465,0,0,0,0,0,0,74,0,42,12,105,61,0
137,2002,Nanded Region,Hingoli,2081,3,173,95,97,0,0,0,195,0,0,0,4,1,0,9,2,106,12,128,106,0
138,2002,Amrawati Region,Amrawati,9158,565,4305,741,207,0,119,0,859,2,8,0,5,9,0,92,0,56,253,191,56,3
139,2002,Amrawati Region,Buldhana,7779,48,1114,260,167,0,222,0,794,0,1,0,1,3,0,68,0,88,230,168,128,0
140,2002,Amrawati Region,Yawatmal,6280,787,1415,349,145,0,216,0,808,0,0,0,0,2,0,106,0,51,160,126,106,2
141,2002,Amrawati Region,Akola,6037,665,2322,420,90,2,89,0,767,0,0,0,1,2,0,114,0,98,255,108,71,21
142,2002,Amrawati Region,Washim,2769,64,316,148,68,0,62,0,531,0,1,0,0,2,0,22,0,25,89,153,143,2
143,2002,Nagpur(U) Region,Nagpur,34265,5871,14261,3767,498,0,155,0,422,0,4,32,216,9,0,825,33,515,686,137,112,119
144,2002,Nagpur(U) Region,Wardha,3643,729,1309,119,72,0,9,0,242,0,0,0,0,1,0,19,0,24,103,58,67,0
145,2002,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,2002,Nagpur(R) Region,Nagpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2002,Nagpur(R) Region,Gadchiroli,1943,195,28,48,55,0,39,0,13,0,0,0,1,3,0,2,0,14,3,43,41,0
148,2002,Nagpur(R) Region,Chandrapur,10183,255,2309,719,198,0,97,0,364,0,3,0,3,8,0,504,0,120,169,155,112,16
149,2002,Nagpur(R) Region,Gondia,3257,92,604,124,34,0,42,0,22,0,0,0,0,0,0,28,0,20,22,64,58,0
150,2002,Nagpur(R) Region,Bhandara,4227,69,985,175,25,0,49,0,83,0,1,2,0,2,0,13,0,24,36,182,146,0
151,2003,Greater Mumbai,Mumbai(C),14743,2380,35,8885,339,0,1163,0,0,144,271,0,28,38,0,174,2,273,469,1,0,49
152,2003,Greater Mumbai,Mumbai(W),23083,7739,0,12157,527,0,629,0,9589,0,337,11,32,19,0,106,0,308,1906,7,0,0
153,2003,Greater Mumbai,Mumbai€,11236,2082,410,3414,0,0,202,0,5892,0,65,34,134,7,1,22,0,197,964,1,0,8
154,2003,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2003,Thane Region,Thane,34121,7406,354,27256,5445,5,2480,0,3351,25,450,5,29,30,1103,6252,1209,5229,4080,48,144,5
156,2003,Thane Region,Kalyan,14919,2039,5,1682,221,0,115,0,1623,0,17,0,0,8,0,162,0,333,384,12,10,5
157,2003,Thane Region,Vashi Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2003,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2003,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2003,Panvel Region,Pen-Raigad,12659,2077,2,4650,1078,5,1205,0,3173,7,36,1,32,11,738,1124,0,1036,168,31,16,174
161,2003,Panvel Region,Ratnagiri,6773,854,0,641,149,1,21,0,1170,0,10,4,0,37,0,112,0,242,207,13,14,0
162,2003,Panvel Region,Sindhudurg,3619,253,357,465,129,25,2,0,908,0,2,2,4,6,3,62,0,122,70,14,25,1
163,2003,Kolhapur Region,Kolhapur,19390,2300,2512,2170,556,0,0,0,365,0,16,0,1,10,3,244,32,232,392,288,326,35
164,2003,Kolhapur Region,Sangli,11788,990,2184,1015,389,5,60,0,205,0,3,0,2,1,1,162,19,274,395,203,156,7
165,2003,Kolhapur Region,Satara,13145,348,1225,1004,399,0,98,0,287,7,1,5,8,3,0,352,15,337,787,213,144,2
166,2003,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2003,Pune Region,Pune,53757,15594,8031,13372,1656,2,671,0,2123,719,219,160,23,21,0,677,102,1052,1724,211,130,25
168,2003,Pune Region,Solapur,15112,680,2172,691,381,0,18,0,218,0,5,0,0,4,0,99,0,397,397,154,128,4
169,2003,Pune Region,Pimpri-Chinchwad,29040,2227,3251,3848,721,0,290,0,173,13,95,5,51,12,0,425,0,1003,885,248,151,11
170,2003,Pune Region,Baramati,2261,84,26,92,32,0,7,0,1,0,0,0,0,0,0,33,7,63,82,34,65,0
171,2003,Pune Region,Akluj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,2003,Nashik Region,Nashik,31782,2161,4649,3539,1397,0,177,0,1049,0,17,1,6,24,0,325,19,1038,710,807,625,0
173,2003,Nashik Region,Ahmednagar,13096,822,1270,714,192,0,70,0,253,0,2,0,4,3,0,136,7,263,275,142,114,8
174,2003,Nashik Region,Srirampur,12636,150,743,695,245,0,140,0,228,0,0,2,0,3,0,42,161,343,429,288,263,20
175,2003,Nashik Region,Malegaon,5145,0,67,309,54,0,9,0,202,0,0,0,2,0,0,63,0,203,148,254,223,5
176,2003,Dhule Region,Dhule,6122,207,1055,639,102,0,90,0,279,0,6,1,0,11,0,422,15,114,285,239,144,2
177,2003,Dhule Region,Jalgaon,18934,1270,2150,1384,343,4,116,0,1104,0,10,3,0,11,0,403,0,212,504,494,327,15
