S. No.,Year,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
413,2008,Kolhapur Region,Kolhapur,23057,2381,1244,2909,667,0,10,59,347,0,47,0,6,4,25,489,45,204,416,703,536,54
414,2008,Kolhapur Region,Sangli,17049,1515,879,2042,381,0,26,44,245,0,1,9,1,3,0,399,16,421,479,551,339,16
415,2008,Kolhapur Region,Satara,18363,1404,1794,2352,444,0,210,176,121,0,26,17,1,6,0,748,25,882,425,939,617,60
416,2008,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,2008,Pune Region,Pune,88286,3382,2678,26873,1393,0,0,1354,1123,0,503,0,5,63,0,1216,230,1863,1613,674,140,360
418,2008,Pune Region,Solapur,17167,1886,1484,1505,361,0,0,214,178,0,1,9,18,12,0,258,54,435,444,602,300,26
419,2008,Pune Region,Pimpri-Chinchwad,46371,0,0,11912,0,0,0,1014,72,73,261,3,4,33,0,999,7,1256,1463,922,287,206
420,2008,Pune Region,Baramati,11610,295,118,1640,208,11,0,225,19,0,14,1,3,5,0,358,8,627,299,979,702,40
421,2008,Pune Region,Akluj,9395,1,0,761,121,0,0,45,19,0,3,3,2,4,24,59,8,280,244,624,292,51
422,2008,Nashik Region,Nashik,36436,2829,789,7089,996,0,66,57,457,0,89,35,14,37,0,453,18,805,641,1995,1922,62
423,2008,Nashik Region,Ahmednagar,17019,1953,603,1513,178,0,42,125,354,0,5,2,5,11,3,275,22,548,492,1084,629,120
424,2008,Nashik Region,Srirampur,15044,1033,770,1288,391,0,40,127,391,0,1,13,5,4,0,189,13,367,548,1007,351,49
425,2008,Nashik Region,Malegaon,12000,2,22,909,6,0,48,19,539,0,13,5,1,1,0,250,6,513,18,1297,1119,0
426,2008,Dhule Region,Dhule,5687,649,798,747,172,0,0,105,137,24,14,8,2,0,2,447,13,108,143,535,369,7
427,2008,Dhule Region,Jalgaon,15937,2346,295,1750,173,11,24,192,740,0,21,10,0,4,0,455,0,165,567,826,799,66
428,2008,Dhule Region,Nandurbar,4823,421,158,404,279,115,0,17,4,0,0,0,0,3,0,49,0,143,220,528,249,1
429,2008,Aurangabad Region,Aurangabad,32285,1878,0,1726,500,0,0,0,696,708,45,32,78,24,0,249,12,495,1317,840,403,0
430,2008,Aurangabad Region,Jalna,5520,510,37,539,226,0,0,4,229,0,0,0,6,3,0,119,0,200,523,567,221,3
431,2008,Aurangabad Region,Beed,3878,94,347,228,365,0,0,0,385,0,0,0,0,0,0,25,0,90,320,201,96,0
432,2008,Latur Region,Latur,9778,924,1126,1176,360,0,0,39,323,12,5,8,5,1,0,254,0,74,421,448,213,31
433,2008,Latur Region,Osmanabad,6004,163,99,249,168,0,0,86,164,0,0,3,0,4,0,306,0,135,59,393,157,9
434,2008,Latur Region,Ambejogai,3397,0,134,202,106,0,0,34,305,0,0,2,0,0,0,30,11,29,58,186,116,0
435,2008,Nanded Region,Nanded,9143,702,937,861,593,0,0,139,1275,0,3,0,12,8,2,310,74,408,395,317,122,2
436,2008,Nanded Region,Parbhani,6572,198,179,387,163,0,1,30,569,0,2,4,0,9,53,204,8,40,200,478,174,13
437,2008,Nanded Region,Hingoli,3415,0,39,195,63,0,0,4,205,0,6,0,0,3,0,26,4,27,47,341,239,0
438,2008,Amrawati Region,Amrawati,13629,1351,1954,1251,130,0,0,93,573,0,29,14,0,10,0,390,4,246,120,687,244,11
439,2008,Amrawati Region,Buldhana,9483,313,959,363,173,0,3,48,843,0,0,12,0,5,0,141,4,207,198,943,371,9
440,2008,Amrawati Region,Yawatmal,9618,1767,1093,1011,190,0,9,70,488,0,5,5,0,3,0,178,0,278,171,1035,477,0
441,2008,Amrawati Region,Akola,8193,3643,123,1103,50,0,0,116,586,0,1,9,1,8,0,91,2,207,151,505,244,17
442,2008,Amrawati Region,Washim,4835,358,292,224,126,0,0,59,419,0,1,5,0,2,0,26,1,54,84,574,301,1
443,2008,Nagpur(U) Region,Nagpur,23909,17938,12064,6876,3117,0,0,350,181,14,129,59,81,11,9,591,379,797,330,207,81,1
444,2008,Nagpur(U) Region,Wardha,5862,335,1994,374,97,4,0,67,268,0,19,5,3,3,0,94,3,151,238,673,252,21
445,2008,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,2008,Nagpur(R) Region,Nagpur,14076,3864,3080,764,523,0,0,94,273,293,22,5,0,6,1,294,11,335,73,967,233,99
447,2008,Nagpur(R) Region,Gadchiroli,3254,533,0,166,0,0,0,4,37,0,1,5,2,8,0,18,0,57,31,208,90,4
448,2008,Nagpur(R) Region,Chandrapur,10922,1982,1753,1290,138,0,0,96,316,0,6,17,4,18,61,493,15,302,62,708,209,39
449,2008,Nagpur(R) Region,Gondia,6711,645,229,327,89,0,0,12,92,0,3,1,0,4,0,44,4,67,2,171,109,9
450,2008,Nagpur(R) Region,Bhandara,5455,701,796,297,51,0,0,21,35,0,3,4,3,10,7,119,0,42,10,375,179,23
451,2009,Greater Mumbai,Mumbai(C),12141,6243,0,13266,227,4,3590,251,0,509,12,4,7,13,0,9,0,296,264,0,0,2
452,2009,Greater Mumbai,Mumbai(W),29038,3010,4,23904,0,0,1653,339,5451,0,17,60,19,26,0,38,0,336,978,0,0,0
453,2009,Greater Mumbai,Mumbai€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,2009,Greater Mumbai,Borivali,14779,1100,0,7450,525,7,1554,94,3406,0,16,4,29,22,0,45,0,268,362,0,2,5
455,2009,Thane Region,Thane,41846,6293,48,30934,740,29,131,1472,4356,36,663,2,32,23,78,2096,974,2635,6339,75,566,623
456,2009,Thane Region,Kalyan,25324,0,0,5626,3,0,109,61,1972,3,34,3,5,21,0,148,1,299,467,98,27,38
457,2009,Thane Region,Vashi Navi Mumbai,5235,7547,0,10665,160,0,0,283,606,49,209,23,21,35,0,934,257,256,1095,0,460,10
458,2009,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,2009,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,2009,Panvel Region,Pen-Raigad,22184,0,0,8698,1131,0,0,267,349,3,29,12,43,48,1013,958,116,1254,374,161,27,280
461,2009,Panvel Region,Ratnagiri,7821,3601,420,2000,372,6,0,31,363,2,26,2,1,17,0,163,0,461,258,7,5,181
462,2009,Panvel Region,Sindhudurg,5120,1157,216,956,132,0,190,0,476,202,5,0,4,3,1,217,0,283,68,19,6,0
463,2009,Kolhapur Region,Kolhapur,42080,1871,5,4310,225,4,0,56,399,0,40,21,3,21,117,390,24,609,335,725,366,31
464,2009,Kolhapur Region,Sangli,22445,1796,1125,2321,896,0,193,28,266,0,0,15,0,15,0,303,2,859,354,938,600,61
465,2009,Kolhapur Region,Satara,23674,2141,2192,3488,770,0,111,66,281,0,21,28,1,11,0,683,0,1157,412,1428,1305,119
466,2009,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,2009,Pune Region,Pune,102456,51,113,30047,915,0,0,1363,1132,0,636,19,0,83,0,1745,113,1643,1769,693,21,317
468,2009,Pune Region,Solapur,24087,2096,2089,1740,620,0,0,103,505,0,6,4,4,22,0,87,124,580,582,724,198,6
469,2009,Pune Region,Pimpri-Chinchwad,48385,130,325,11924,128,13,0,830,222,170,294,5,10,34,0,590,6,1377,795,779,104,108
470,2009,Pune Region,Baramati,13975,297,1,2236,163,0,0,17,497,0,10,5,6,5,0,237,63,567,283,1289,1428,70
471,2009,Pune Region,Akluj,11810,0,0,1451,72,0,0,76,195,0,15,2,4,0,1,48,46,271,283,913,524,123
472,2009,Nashik Region,Nashik,45261,3979,101,9968,433,1,87,89,626,0,116,6,0,23,15,246,41,1641,406,2441,995,51
473,2009,Nashik Region,Ahmednagar,19025,2952,426,2018,499,0,1,125,670,0,3,4,11,6,0,248,12,820,408,1235,605,148
474,2009,Nashik Region,Srirampur,20271,2182,475,1766,608,0,72,38,489,0,5,14,0,6,0,109,8,421,669,1423,712,280
475,2009,Nashik Region,Malegaon,16239,759,40,1297,195,0,84,17,790,0,22,4,0,1,0,112,1,598,117,2333,1902,1
476,2009,Dhule Region,Dhule,9186,1635,805,1248,330,0,63,38,444,0,30,2,4,9,63,371,28,162,290,816,541,40
477,2009,Dhule Region,Jalgaon,22034,1735,578,1612,267,0,51,36,1402,26,19,15,1,33,0,237,16,65,715,1522,893,62
478,2009,Dhule Region,Nandurbar,5714,831,242,747,264,281,4,1,3,0,6,0,0,0,0,21,0,77,156,697,389,0
479,2009,Aurangabad Region,Aurangabad,35487,2192,0,1879,456,0,0,0,778,676,79,51,104,20,0,393,37,660,1616,918,451,0
480,2009,Aurangabad Region,Jalna,10873,209,338,861,294,0,0,2,437,0,2,3,0,2,0,36,7,66,364,701,299,29
481,2009,Aurangabad Region,Beed,4479,70,478,241,421,0,0,0,489,0,0,0,0,0,0,52,2,132,645,373,140,0
482,2009,Latur Region,Latur,10176,1721,1517,1439,426,0,62,34,413,0,4,9,4,4,0,137,4,169,369,436,249,52
483,2009,Latur Region,Osmanabad,7177,750,214,447,194,0,0,34,235,0,0,4,0,3,0,162,0,209,73,513,216,79
484,2009,Latur Region,Ambejogai,5439,0,107,457,149,0,0,4,536,0,0,4,0,0,8,49,0,7,209,248,170,5
485,2009,Nanded Region,Nanded,13725,1047,1951,1327,616,0,0,100,2296,0,19,7,6,7,0,229,2,105,566,423,296,7
486,2009,Nanded Region,Parbhani,9511,247,160,579,322,0,2,5,861,0,0,7,0,4,56,201,3,25,230,474,203,12
487,2009,Nanded Region,Hingoli,4821,0,19,265,118,0,0,1,333,0,3,0,3,0,0,17,0,71,91,318,134,7
488,2009,Amrawati Region,Amrawati,19662,1467,1795,1820,232,0,0,10,571,2,22,8,1,66,0,295,0,290,68,643,374,16
489,2009,Amrawati Region,Buldhana,9990,595,940,409,304,0,0,5,1110,0,0,12,0,24,0,76,1,330,183,870,474,11
490,2009,Amrawati Region,Yawatmal,12718,3901,1504,1234,342,0,0,16,794,0,13,16,9,9,0,128,0,277,156,596,445,0
491,2009,Amrawati Region,Akola,10877,4363,99,1427,98,0,0,33,681,0,4,15,0,39,0,100,1,332,165,627,446,20
492,2009,Amrawati Region,Washim,5491,614,122,326,154,0,0,4,603,0,1,6,0,13,0,5,3,111,94,416,293,1
493,2009,Nagpur(U) Region,Nagpur,29256,17971,10975,8559,2677,0,0,276,810,78,142,148,38,113,18,734,474,838,341,142,140,16
494,2009,Nagpur(U) Region,Wardha,6710,0,2507,489,226,0,0,49,492,1,5,6,5,8,1,59,1,171,145,326,194,27
495,2009,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,2009,Nagpur(R) Region,Nagpur,14133,2840,3883,1072,751,0,0,60,461,301,33,24,0,11,54,319,6,471,76,912,267,59
497,2009,Nagpur(R) Region,Gadchiroli,3946,750,46,211,45,0,0,12,68,0,6,3,0,15,0,12,2,50,14,330,134,0
498,2009,Nagpur(R) Region,Chandrapur,13528,1928,1781,1968,265,3,61,45,361,0,19,23,3,34,78,420,17,360,52,657,349,60
499,2009,Nagpur(R) Region,Gondia,8551,704,192,494,143,0,30,8,143,0,10,0,0,19,0,52,0,127,14,330,230,11
500,2009,Nagpur(R) Region,Bhandara,6083,1476,455,406,80,0,0,34,64,0,6,2,0,1,0,39,1,100,20,484,188,5
501,2010,Greater Mumbai,Mumbai(C),16938,7633,1,18515,258,0,5175,573,0,552,0,0,0,10,0,2,0,358,272,0,0,6
502,2010,Greater Mumbai,Mumbai(W),30636,11161,7,26380,208,0,924,517,4504,0,244,275,10,48,0,75,0,468,1121,0,0,0
503,2010,Greater Mumbai,Mumbai€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,2010,Greater Mumbai,Borivali,19850,3381,5,12246,264,2,1276,298,3310,0,12,90,0,17,0,0,0,310,516,0,0,2
505,2010,Thane Region,Thane,57372,12630,67,29181,884,0,236,3173,1478,195,1047,19,52,129,65,3165,790,3738,6605,122,671,431
506,2010,Thane Region,Kalyan,33541,253,0,8231,213,0,22,163,744,10,62,2,7,24,2,269,1,583,684,31,7,18
507,2010,Thane Region,Vashi Navi Mumbai,16361,271,0,13042,222,0,0,630,444,116,314,35,43,39,2,1717,168,309,1237,0,694,20
508,2010,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,2010,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,2010,Panvel Region,Pen-Raigad,22137,0,0,8581,997,0,0,443,157,16,50,20,49,25,1573,1006,223,1232,252,187,40,293
511,2010,Panvel Region,Ratnagiri,8671,3901,317,2048,587,2,0,35,384,2,18,11,24,12,10,263,0,656,251,9,12,160
512,2010,Panvel Region,Sindhudurg,6444,1644,308,1315,368,0,49,0,525,532,6,0,1,10,0,511,2,422,82,22,6,0
513,2010,Kolhapur Region,Kolhapur,52057,4946,575,6392,916,0,52,71,229,0,57,41,5,9,57,769,68,1050,816,1404,1229,143
514,2010,Kolhapur Region,Sangli,29591,2150,2710,3673,1053,0,177,0,67,0,0,21,1,14,0,820,1,1209,462,1733,955,160
515,2010,Kolhapur Region,Satara,30555,3802,3437,4722,984,0,88,295,266,7,12,52,5,17,0,1048,5,1528,454,2032,1257,158
516,2010,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,2010,Pune Region,Pune,127960,0,0,39430,1069,0,0,1474,1385,0,685,190,0,54,0,3443,319,2119,2186,649,56,585
518,2010,Pune Region,Solapur,26186,2927,2315,2155,816,0,0,73,324,26,15,11,15,11,0,207,32,395,857,1215,850,2
519,2010,Pune Region,Pimpri-Chinchwad,72227,0,0,20403,134,0,0,1457,273,267,533,0,0,39,0,1118,6,2005,911,701,58,383
520,2010,Pune Region,Baramati,19332,1019,1,2443,185,2,0,21,73,4,11,8,1,5,0,384,6,696,384,1663,1567,77
521,2010,Pune Region,Akluj,14982,0,0,1463,108,0,0,17,154,0,9,0,0,1,0,152,0,561,13,963,649,77
522,2010,Nashik Region,Nashik,56205,6757,148,11307,993,0,116,198,740,100,158,43,1,28,2,551,88,2288,514,3701,1719,169
523,2010,Nashik Region,Ahmednagar,24173,4231,452,2566,591,0,0,187,227,1,4,8,4,9,0,452,23,927,428,2021,1890,161
524,2010,Nashik Region,Srirampur,24446,4441,4761,2399,776,0,166,116,178,0,13,24,0,1,61,197,10,569,855,1745,979,186
525,2010,Nashik Region,Malegaon,18516,372,441,1840,28,0,81,21,722,0,2,27,0,9,0,222,0,288,434,2261,1715,0
526,2010,Dhule Region,Dhule,14666,1338,1227,1365,535,0,37,39,339,0,4,6,0,5,0,817,20,176,364,1173,832,41
527,2010,Dhule Region,Jalgaon,29738,5139,810,1760,310,1,128,22,1083,0,17,24,4,11,0,391,7,166,1167,2224,1195,29
528,2010,Dhule Region,Nandurbar,6730,1774,54,1003,384,153,15,0,10,0,2,0,0,1,0,17,1,180,263,999,451,2
529,2010,Aurangabad Region,Aurangabad,37377,1010,0,1847,889,0,0,0,1038,689,51,53,138,23,0,386,14,1010,1606,1179,599,0
530,2010,Aurangabad Region,Jalna,17300,395,957,1000,341,0,0,0,265,0,7,21,0,0,0,99,2,141,516,997,356,24
531,2010,Aurangabad Region,Beed,5735,216,208,328,444,0,0,0,465,0,0,0,0,0,0,144,0,286,539,382,130,0
532,2010,Latur Region,Latur,13421,1784,2475,1733,576,0,5,71,384,0,0,22,0,5,0,217,0,302,603,586,208,74
533,2010,Latur Region,Osmanabad,10123,1087,248,688,279,0,0,89,144,0,0,4,2,2,0,381,1,283,89,844,248,22
534,2010,Latur Region,Ambejogai,7375,313,159,505,192,0,0,0,87,0,0,5,1,0,1,78,0,33,218,654,368,15
535,2010,Nanded Region,Nanded,18187,981,1430,1488,972,0,221,18,1760,0,40,28,3,0,0,599,1,731,478,572,334,70
536,2010,Nanded Region,Parbhani,14647,205,302,844,362,0,8,7,954,0,5,4,0,2,27,140,50,42,380,659,172,18
537,2010,Nanded Region,Hingoli,6084,6,1,403,154,0,0,0,258,0,5,2,0,0,0,6,0,92,49,348,121,2
538,2010,Amrawati Region,Amrawati,25322,3880,1087,2555,237,9,29,19,275,4,10,15,3,5,0,209,0,377,83,1073,425,22
539,2010,Amrawati Region,Buldhana,9509,608,1127,937,359,0,145,68,343,0,0,16,0,6,0,182,0,424,340,1676,599,10
540,2010,Amrawati Region,Yawatmal,13747,4933,1653,1738,237,0,20,9,411,0,28,25,9,1,0,276,0,400,165,376,207,0
541,2010,Amrawati Region,Akola,12195,4905,728,1428,68,0,42,47,423,0,12,13,2,9,3,85,11,495,166,903,419,33
542,2010,Amrawati Region,Washim,6326,1113,104,433,207,0,2,5,372,0,0,10,0,0,0,17,9,261,88,658,340,4
543,2010,Nagpur(U) Region,Nagpur,41989,23844,620,10148,2205,0,0,270,866,26,64,49,15,66,31,448,252,970,395,136,87,51
544,2010,Nagpur(U) Region,Wardha,6184,0,2524,605,342,0,0,21,53,0,9,6,6,7,0,45,0,261,151,508,165,49
545,2010,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,2010,Nagpur(R) Region,Nagpur,18515,5833,3637,1617,1108,0,0,61,203,153,63,20,2,22,110,939,0,700,107,1050,220,88
547,2010,Nagpur(R) Region,Gadchiroli,5096,1222,31,351,91,0,0,28,8,0,19,1,7,46,0,23,0,136,8,458,236,0
548,2010,Nagpur(R) Region,Chandrapur,16738,2806,2832,2352,282,3,51,59,63,0,19,21,1,28,96,669,6,526,93,815,303,83
549,2010,Nagpur(R) Region,Gondia,11353,770,274,646,225,0,0,20,24,0,8,15,0,5,0,81,1,159,13,480,175,17
550,2010,Nagpur(R) Region,Bhandara,7468,1622,978,633,88,0,0,39,38,1,0,7,2,7,0,68,0,201,12,724,221,11
551,2011,Greater Mumbai,Mumbai(C),18811,9548,0,17483,168,0,4482,825,0,0,8,3,0,0,0,0,0,380,273,0,0,0
552,2011,Greater Mumbai,Mumbai(W),31679,14295,24,30889,2769,0,821,1132,2890,0,2,389,7,32,0,118,0,540,1201,41,0,0
553,2011,Greater Mumbai,Mumbai€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,2011,Greater Mumbai,Borivali,20501,6114,32,12430,113,0,747,473,3302,0,18,145,1,26,0,14,0,302,607,0,2,0
555,2011,Thane Region,Thane,50076,14534,355,27896,1021,20,33,3369,1230,43,1244,29,21,115,77,4215,830,5647,7785,96,625,87
556,2011,Thane Region,Kalyan,38907,0,0,10114,27,0,7,189,619,23,104,7,0,34,0,303,76,899,1030,17,31,208
557,2011,Thane Region,Vashi Navi Mumbai,15188,81,0,13184,104,0,37,698,493,11,251,136,32,28,0,1067,220,643,1462,0,381,57
558,2011,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,2011,Panvel Region,Panvel,25313,589,0,13733,50,0,0,529,176,3,108,147,112,96,1596,1513,219,1303,227,81,34,384
560,2011,Panvel Region,Pen-Raigad,14191,0,0,3306,584,0,0,163,32,268,53,4,16,40,121,528,27,1025,152,151,96,171
561,2011,Panvel Region,Ratnagiri,10858,3882,112,2599,443,0,1,52,344,0,40,8,6,19,2,402,5,789,240,0,8,345
562,2011,Panvel Region,Sindhudurg,7041,2431,139,1157,241,0,1,8,488,548,20,1,10,20,0,1092,0,496,112,8,11,16
563,2011,Kolhapur Region,Kolhapur,66377,4648,1075,8486,855,0,38,66,150,0,111,81,4,40,344,1285,45,1882,1476,2505,2796,289
564,2011,Kolhapur Region,Sangli,36092,5033,2628,3913,845,0,24,45,149,0,0,37,6,10,47,810,20,1842,456,2504,2267,155
565,2011,Kolhapur Region,Satara,33827,3926,3797,4808,963,0,0,430,114,19,18,30,3,26,0,1067,1,1930,414,2165,2263,131
566,2011,Kolhapur Region,Karad,5431,222,417,750,125,0,0,90,11,0,5,12,15,3,0,221,1,304,60,369,195,29
567,2011,Pune Region,Pune,155401,137,2,47862,1331,1,0,1936,2283,0,653,51,0,71,115,2220,127,2567,3002,715,4,536
568,2011,Pune Region,Solapur,35830,4607,2334,2668,958,0,0,89,128,0,5,18,14,31,1,179,30,457,790,3530,627,210
569,2011,Pune Region,Pimpri-Chinchwad,84039,0,0,22444,0,0,0,1959,294,481,545,148,56,75,0,1641,42,3155,1457,1201,153,432
570,2011,Pune Region,Baramati,18247,522,0,2085,73,0,0,26,5,0,10,1,21,18,0,451,1,968,325,1883,2131,95
571,2011,Pune Region,Akluj,17788,0,0,1260,662,0,0,0,0,0,0,0,0,1,0,333,2,587,351,1262,1431,221
572,2011,Nashik Region,Nashik,61866,11489,138,12567,1738,0,26,189,781,0,263,47,6,56,9,657,110,2651,740,3487,1610,215
573,2011,Nashik Region,Ahmednagar,33083,5014,1023,3531,357,0,2,94,52,0,3,23,15,3,38,631,24,708,752,2464,911,48
574,2011,Nashik Region,Srirampur,35721,410,1988,3257,934,0,30,103,49,0,26,45,4,14,1,211,52,876,816,1104,1612,81
575,2011,Nashik Region,Malegaon,19321,483,165,1713,0,0,10,18,534,0,9,22,0,14,0,309,0,372,357,1984,1866,0
576,2011,Dhule Region,Dhule,15460,2234,504,1879,333,23,14,22,357,0,11,7,15,10,0,1094,9,279,172,1348,943,21
577,2011,Dhule Region,Jalgaon,37276,6733,1193,2773,611,0,33,44,1485,25,14,24,1,18,0,356,7,111,1157,2566,1244,30
578,2011,Dhule Region,Nandurbar,7603,2350,0,937,373,0,1,0,227,0,0,0,0,42,0,32,3,166,335,1334,564,3
579,2011,Aurangabad Region,Aurangabad,65650,2442,20,2960,1691,0,0,0,854,660,88,75,250,18,0,688,41,1478,2811,1074,520,0
580,2011,Aurangabad Region,Jalna,20083,146,1237,1020,497,0,0,0,407,0,0,11,0,0,0,101,8,77,466,1490,581,33
581,2011,Aurangabad Region,Beed,6750,315,245,264,314,0,0,0,339,0,0,0,0,0,0,159,0,338,475,364,27,0
582,2011,Latur Region,Latur,15765,3494,2694,2065,809,0,0,73,690,0,24,39,0,6,0,215,0,245,680,1092,348,20
583,2011,Latur Region,Osmanabad,12210,848,136,768,417,0,0,110,192,0,1,20,0,10,0,134,8,340,81,1185,387,48
584,2011,Latur Region,Ambejogai,7420,334,592,474,276,0,0,0,27,0,1,4,1,3,11,63,20,51,208,600,252,23
585,2011,Nanded Region,Nanded,32246,2098,2389,2711,2067,0,783,0,3280,0,62,51,0,0,3,1943,7,1711,1260,1374,783,34
586,2011,Nanded Region,Parbhani,15121,118,199,707,540,0,0,10,1071,0,12,5,0,18,13,105,14,75,424,630,230,19
587,2011,Nanded Region,Hingoli,8244,260,24,695,213,0,0,0,160,0,2,1,0,0,0,24,0,160,87,421,82,0
588,2011,Amrawati Region,Amrawati,30249,4208,554,3007,356,12,9,20,646,0,28,8,0,32,0,281,2,685,77,1157,525,24
589,2011,Amrawati Region,Buldhana,19732,1739,1004,850,431,0,6,80,1009,0,1,30,14,24,0,149,1,364,347,1716,800,0
590,2011,Amrawati Region,Yawatmal,15279,5269,703,1880,456,3,0,44,462,0,21,30,0,4,2,357,0,818,128,420,244,0
591,2011,Amrawati Region,Akola,16071,6959,278,1814,115,0,6,29,951,0,15,11,1,12,2,131,36,588,120,897,556,63
592,2011,Amrawati Region,Washim,5001,858,84,352,179,0,0,3,499,0,4,3,0,4,0,30,0,340,52,804,346,1
593,2011,Nagpur(U) Region,Nagpur,42354,26548,0,10167,2202,0,0,243,1129,0,160,39,7,37,0,376,181,1374,531,100,62,100
594,2011,Nagpur(U) Region,Wardha,6722,0,2681,970,288,0,0,16,3,0,5,15,14,16,13,98,8,440,171,547,170,93
595,2011,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,2011,Nagpur(R) Region,Nagpur,22043,3881,4499,2222,1430,0,1,34,175,438,50,63,4,20,116,1720,2,1136,172,977,364,147
597,2011,Nagpur(R) Region,Gadchiroli,5437,1358,34,431,147,0,0,19,6,0,1,3,0,22,0,35,10,182,0,549,240,23
598,2011,Nagpur(R) Region,Chandrapur,19610,3515,3394,2235,382,1,24,53,59,0,23,34,4,23,143,939,3,934,79,979,430,118
599,2011,Nagpur(R) Region,Gondia,12494,814,330,650,321,0,0,10,0,0,14,5,3,13,0,174,9,292,28,509,253,13
600,2011,Nagpur(R) Region,Bhandara,10609,2389,804,915,108,0,0,1,51,0,2,8,4,15,41,106,0,279,18,833,506,16
601,2012,Greater Mumbai,Mumbai(C),18232,13341,15,14986,16,0,2643,606,0,0,0,0,0,0,0,0,0,288,205,0,0,7
602,2012,Greater Mumbai,Mumbai(W),31172,13584,31,28656,1316,0,744,996,4813,0,22,163,6,25,0,293,0,468,968,0,0,0
603,2012,Greater Mumbai,Mumbai€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,2012,Greater Mumbai,Borivali,19681,9237,32,11081,116,0,637,465,5164,0,12,142,10,20,0,33,0,190,508,0,0,6
605,2012,Thane Region,Thane,46957,8314,13,28852,523,7,0,3280,1543,37,1511,99,55,126,104,3996,453,5926,5630,167,344,367
606,2012,Thane Region,Kalyan,42525,0,0,10999,10,35,6,304,603,230,63,29,26,32,4,244,393,1164,152,12,34,0
607,2012,Thane Region,Vashi Navi Mumbai,17479,26,0,11942,0,0,47,851,628,4,275,171,10,30,901,601,254,515,1567,0,494,49
608,2012,Thane Region,Vasai,25757,6881,99,9727,1,20,0,86,273,5,142,40,5,41,265,301,295,1829,249,11,6,119
609,2012,Panvel Region,Panvel,26237,0,0,12627,0,0,0,446,284,1,54,78,29,23,1622,856,276,759,862,143,18,218
610,2012,Panvel Region,Pen-Raigad,15780,0,0,3415,536,0,0,129,47,654,26,24,7,36,43,265,33,1076,145,141,34,177
611,2012,Panvel Region,Ratnagiri,12582,3303,0,2498,405,0,0,27,663,0,40,25,8,25,0,415,13,1048,263,24,4,68
612,2012,Panvel Region,Sindhudurg,6939,3515,0,1216,272,0,2,4,356,275,9,6,2,5,0,296,1,682,50,9,11,13
613,2012,Kolhapur Region,Kolhapur,62899,6753,731,8147,520,0,12,65,320,48,110,43,10,34,216,793,30,1999,737,5052,1711,254
614,2012,Kolhapur Region,Sangli,24862,2566,6216,3364,1167,0,15,52,489,0,4,53,1,13,17,535,12,1321,752,2195,699,123
615,2012,Kolhapur Region,Satara,27853,3687,3615,3686,950,0,0,410,119,0,18,33,3,40,0,570,12,1613,296,1792,848,163
616,2012,Kolhapur Region,Karad,10163,1142,919,1249,351,0,0,105,31,0,9,8,3,85,0,198,0,476,134,447,345,37
617,2012,Pune Region,Pune,146088,152,0,46433,941,0,0,1032,2731,0,344,0,0,27,37,657,55,2641,1016,270,2,130
618,2012,Pune Region,Solapur,33698,4684,2261,2512,1098,0,0,130,139,0,0,39,19,16,0,184,41,205,1455,804,215,227
619,2012,Pune Region,Pimpri-Chinchwad,83171,0,0,24575,0,0,0,2233,386,545,513,72,32,86,0,1005,24,3019,1062,1027,92,228
